id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,5.956415938758116e-61,3.872117071923582e-131,4.923615331212175e-109,8.144226264910002e-11,0.0,4.5545097605719155e-64,2.922527090697618e-103,6.385992315286083e-84,3.912085593818067e-75,1.4550991465010503e-190,1.6336334310472265e-41,3.3433513218683665e-153,1.86764465324105e-98,1.1698137678330641e-119,3.4036677791596923e-140,4.686386498016601e-155,5.547616843801589e-95,3.53937523053744e-83,2.2550997307908593e-96,2.6177179860301418e-136,2.7202122955256997e-49,9.983801796948176e-56,1.3912048391355498e-45,2.8439696956097033e-79,1.0237267416108482e-95,1.3701318125793828e-65,3.2923336035359486e-28,5.5108701866704603e-42,1.7325993307323332e-59,5.389172394952873e-62,1.4863325760916585e-77,0.0004330313379362717,2.094760934311557e-47,2.4065364814583038e-48,1.643635387093745e-71,2.578635076139098e-155,1.341350776082309e-80,6.542771775234873e-102,1.7044791686474164e-98,2.67313509333897e-63,4.458947129136528e-80,4.1184244026989255e-79,2.841385730119904e-117,1.5373667236609906e-59,6.651784454114849e-65,1.6890652018251373e-37,1.4090729214725276e-09,3.691448067938397e-193,4.627931544619218e-111,1.467588207780157e-78,3.12264179590587e-36,0.9995405363564475,3.3529468973762127e-46,4.630441224469177e-40,3.2281214709556576e-38,2.3133015375135515e-19,9.651812310188603e-06,8.87977872930102e-140,3.116034586597439e-40,3.0929501562135217e-80,1.785929816063551e-91,7.316972501612736e-101,1.3046898889253938e-71,3.1859358658485407e-143,3.706283791027082e-22,3.609001299204439e-59,2.822843856935212e-51,8.266982551715435e-66,1.5194712238907374e-46,1.9082253571470647e-32,4.178034967543727e-63,6.566284184604797e-101,7.811546511753118e-77,6.049667454115162e-68,4.3073810111677644e-44,3.351051498009177e-49,1.683946421625196e-74,5.470587543591593e-40,2.0358077644857027e-58,1.9971708885625939e-44,7.794151582584339e-58,9.653675006007296e-45,1.5427005611662931e-120,1.6779002790909552e-05,2.565745755351008e-50,6.867950759952634e-113,6.657084986138856e-49,1.6510907929911878e-73,1.91253370931729e-87,4.9993685901873387e-169,2.5920816360139853e-52,2.3687611994754265e-119,4.9950590744720786e-71,1.5730877996725277e-69,6.529120647560726e-55,1.096111579023752e-117,1.0707953174820649e-68,5.741915889100543e-71,1.5019938798762202e-94
7,2.2572121247829214e-83,3.121396494384234e-156,1.262776310928863e-81,5.643123172222237e-21,1.3712299297755206e-302,4.981995899565446e-47,1.0120073869952189e-21,2.6956227137181575e-56,2.098104952747639e-66,4.70613187009951e-182,1.4709346662268263e-54,1.4073068421689525e-130,4.224576555769204e-119,1.6318139175410398e-93,8.048290619096321e-130,3.171283242403257e-162,3.820440747034068e-120,2.20130922109924e-33,7.29589997412907e-103,7.950633831719534e-71,1.4140327083810538e-66,1.3085922795253171e-79,4.0813432849104946e-41,6.432411388349737e-65,7.264876070116288e-96,2.263071907210374e-52,1.0349369167071789e-66,5.461691210688609e-85,6.284247027163165e-40,7.904663444880308e-59,1.0998081160348313e-37,7.824577170848982e-42,7.857661498092437e-84,6.872190407230332e-72,2.9707845654689196e-63,3.258929728485727e-137,8.676024342548158e-44,1.624991225279144e-97,4.833381096762352e-86,1.53511511758467e-39,1.095428531626571e-48,2.2398260633358772e-116,2.9789423923778835e-104,1.213633172981227e-46,4.7466648230602056e-89,1.8668595798316025e-49,3.200449143688766e-101,1.3778532220278673e-124,1.2502555656198426e-91,2.70789922996102e-109,0.9367129463480417,1.4321990676174824e-58,2.5711388424545647e-31,5.109525155946776e-25,1.7277176002834063e-21,2.847406937959901e-31,2.9927483580538586e-61,1.4481452152290353e-116,1.3194179994862592e-48,6.550186589319591e-59,1.3721887855411062e-84,1.1482448247204944e-77,3.0503411343882565e-83,1.0808546196084054e-132,1.7397688948856122e-85,8.368685932590262e-72,9.270430971064815e-74,7.74067725708468e-45,8.736564856745232e-35,0.0632870533461065,9.222464593273486e-61,2.567953837290951e-71,3.3046754139775637e-115,5.79686038669143e-35,1.5263784610794466e-137,3.648987703953581e-121,7.806811224051678e-38,1.6192102484902182e-65,1.773698824526245e-62,4.645685360833235e-40,1.4510368116923716e-28,8.139210598882242e-20,7.999559828845371e-76,6.391650183371707e-25,3.064739371798924e-104,1.4734882781848754e-122,3.0585191357929857e-10,9.318024157466559e-36,9.683895723790093e-187,1.6191394755020093e-156,9.52860402775359e-58,8.685023067141844e-135,7.308118948085168e-72,4.419782897335521e-93,3.428584816757941e-41,1.7263655115315214e-109,1.2985076753912442e-29,6.222685874985268e-127,1.2020708297740961e-61
9,1.2777388086263568e-45,0.24997928685952575,2.3996432948581396e-78,2.9583805485324036e-28,1.9145173034609044e-20,8.134587260859622e-58,2.1811081122073518e-107,3.3431396103404845e-24,0.2499792329298174,6.574129784121712e-72,1.0458827937189724e-23,6.0699934556269576e-12,6.27108055331558e-87,1.1318126885211294e-56,1.2407552686351801e-57,2.765300230162851e-162,0.24997928685952575,1.2418000296118924e-73,6.966998946955463e-111,2.851156265312042e-62,5.873116899754689e-49,3.221138920256762e-73,4.506551049024888e-85,3.376771050747819e-119,9.944788757761506e-152,1.604052597108569e-79,0.2499791971197813,2.640706174375428e-128,3.8996876945867665e-75,3.7135580865623297e-81,1.022182438047861e-73,3.137946316673212e-42,6.130577758503494e-47,4.392569853312998e-64,3.136784468882884e-102,8.672633291635565e-87,2.360890539491453e-156,7.150931613948504e-124,2.921760885128669e-132,6.39899080634193e-79,3.2960580104460678e-84,4.8210926283516436e-30,7.81852596121995e-121,5.038705854379126e-78,9.954991980699614e-88,2.054040001458729e-80,4.127855666528926e-103,2.15327909337728e-72,1.3669354055912144e-22,5.042491895979288e-22,2.126863273737102e-74,8.207562692253085e-82,1.7746437280281043e-59,1.1812949534517629e-55,1.8305442342973908e-57,1.8091127277759542e-59,9.913551273645966e-54,1.7401785577807296e-155,4.580706378968607e-59,1.3064764745257869e-139,3.4212895696040494e-119,1.0427837139820201e-132,1.9478035645241076e-119,1.901837698651972e-190,4.475340466542193e-84,8.55068139638062e-95,2.4380181343352595e-73,1.3591631727444223e-92,5.02247404274752e-65,1.906404358437763e-36,3.666061962228854e-86,3.217115796286046e-138,1.6588741842238954e-122,2.757289576993991e-19,1.93745895847064e-139,3.995751033618772e-99,1.6866796366948667e-83,4.876952282763293e-87,3.390312618822154e-119,1.3225999844176843e-72,1.157506322442507e-88,1.8073367154049692e-57,4.619068925480393e-177,3.4127328953477673e-69,1.057654363476464e-128,2.502694340172379e-10,2.2622641155752473e-61,1.6675186541205232e-60,2.053534187301366e-205,3.0500135251626544e-84,7.50043479735562e-68,2.8344289616250668e-136,1.0374622295566506e-55,2.157510905285017e-38,8.299597115592434e-05,3.2189590552672434e-13,4.826532549443507e-79,1.8865758409399482e-152,3.5323835303639552e-12
12,2.750658709058014e-38,0.1273511393737106,1.9155675653495195e-136,6.635472933402319e-28,1.1029801787224052e-225,9.143356034007092e-99,2.7764793050589585e-95,1.8877681585616258e-43,5.272737033052797e-18,2.78826172672166e-62,3.392012537331533e-45,3.5486145409342017e-28,7.749965778131838e-16,0.12735113073923374,2.518139540242815e-57,2.1326216800293713e-173,6.256597045511151e-32,1.3527707312501833e-37,8.655631862080125e-118,0.12735113939131032,6.608288997819304e-37,9.971324862062276e-95,6.474976565233217e-66,8.88789625157712e-99,1.8087593900597853e-127,3.3317781570365375e-83,9.829219903625482e-10,1.0549897545728452e-102,4.368247912077211e-88,3.753373823363909e-93,2.0257802521337724e-90,5.342974551879269e-54,4.911865734914031e-86,3.1511724212693213e-90,3.4716636379187096e-114,2.2552268349651813e-191,1.6728638558669718e-80,2.998002925102251e-123,1.5261253503986413e-143,4.299739088805194e-91,4.6064232931741395e-104,0.10854203304421774,5.607673513207244e-150,7.158945529534895e-76,6.788562611770607e-112,7.610272326158089e-77,5.449641808131483e-94,0.12735113939131032,0.12735113939126577,2.6251954617867983e-74,3.810362443423375e-29,8.663839615890143e-92,1.0160544987892881e-53,1.977817287322373e-38,3.549056806265596e-24,1.6007558197260413e-44,3.188178641055869e-86,1.904023767842796e-189,5.115335854482084e-40,8.056854585055612e-84,1.0731638002249324e-110,4.6993774592498986e-125,7.721316614536413e-94,1.8279937487137122e-151,2.182410814293141e-123,2.6687937012367045e-47,3.465373775347992e-104,8.416571014098229e-85,1.6954487038116048e-54,8.078945474338618e-44,2.4563737136314018e-79,4.1479783946212297e-113,3.015320167914038e-147,3.2583795908365037e-50,1.908445682192557e-133,5.0932692706340633e-107,4.795895433262145e-58,2.716014449680468e-71,1.9949453324239713e-110,1.6324394228369469e-71,3.058399846304065e-62,3.849526013752847e-62,4.3522921354170844e-119,7.490059352049496e-58,1.0130487446278403e-121,5.858715902939684e-47,1.447798588785809e-38,1.9711893819709384e-60,2.008476124966814e-235,1.9497143573299802e-121,2.3447113826936767e-95,8.623375161821668e-107,2.6014377243303193e-65,3.354449342114053e-42,3.1231505129106243e-13,0.12735113829441294,2.286720812333353e-74,1.6818901373065114e-140,0.12735113939130357
13,7.635792207604736e-12,3.2164449942907964e-48,2.6028589427086618e-101,3.9872519373074344e-46,1.4129016692645503e-225,1.0294557665463465e-88,2.911237833368793e-75,4.6102814959401866e-21,0.1292191752925851,3.510199500255184e-79,7.248118471627735e-19,0.1292191752925851,9.2161776276863e-48,0.1292191752925851,0.1292191752925851,2.873264169825488e-172,0.12921917527290838,2.6278295659772917e-28,2.4403920434694963e-85,2.2980433650817063e-66,1.2596387119800784e-21,7.973609680560655e-112,5.0187945882831657e-67,1.3517593333781312e-114,4.922612716833668e-134,1.1129388078346625e-103,1.349287175281122e-25,5.0622163841840695e-109,2.6416944247207928e-79,3.742894468138551e-102,1.1890134456042074e-85,8.41554315039988e-65,2.6427194193456814e-113,1.300285773733129e-96,1.1498734528683573e-99,5.862236423328394e-118,2.1411604515209406e-122,1.796373901133953e-129,3.2347015708205383e-124,2.2452821794209254e-91,8.706470458399224e-112,7.528889230312224e-45,1.0692650003735538e-117,6.927787251569154e-59,5.755489592126205e-93,5.267240853987928e-88,3.52145943526968e-127,8.05694478864764e-67,0.025381685192663078,5.7930858171304116e-05,1.1730885986444325e-60,9.312854829828646e-110,3.924331744597315e-50,6.463344390166687e-48,3.461212726163683e-58,6.157439499927027e-72,2.9671005975341418e-111,2.263545805715682e-161,6.246519430981493e-46,2.613264527984313e-120,1.7015375230482458e-96,2.9594408212247503e-124,2.935595628204318e-113,2.6236528797601213e-164,6.096791006084851e-123,1.0187119786111517e-95,5.448530192235576e-75,5.656022169168878e-85,3.9798951381826135e-60,5.407994663573198e-39,2.6344125145583623e-84,5.07166832790664e-116,1.0397913846619116e-142,2.049214958955515e-50,1.5949430058409119e-121,9.467130610970261e-138,1.1586304463090625e-92,4.409003949673232e-64,5.783539399143365e-118,5.133146527995241e-59,8.103989025069934e-73,2.710670908232572e-55,1.6321493314069504e-141,3.076970536363022e-51,9.02417712819232e-110,3.5841519160458837e-128,3.0370271712762033e-53,5.606524135254919e-84,1.3430199009652913e-233,1.569807905846064e-58,2.1577156283243015e-70,1.6269038384568154e-74,2.139496460477819e-47,0.07002615691333948,0.12921917529235652,0.1292191752925851,6.800047550960679e-59,6.999778149998073e-125,1.3021689343352512e-42
16,4.91240343114189e-54,5.078936065536962e-131,7.765106174093469e-101,0.9999999823678452,0.0,3.2201827319351797e-71,1.3199553829265222e-106,1.053101736204811e-61,1.1193353114069648e-66,1.9458797738408295e-221,1.8919154102627203e-40,7.181218432605094e-126,1.8084970191034297e-67,3.099422243522518e-83,1.5989691838512606e-119,1.037888910937709e-133,7.923336959601035e-106,8.434304680020662e-52,3.351113623887308e-89,1.8193897147798106e-100,1.460166783974443e-60,8.887124196398884e-69,2.045690130157841e-46,1.8331245220635442e-75,7.315677809821484e-82,9.31386299088497e-65,1.2139197992184847e-44,3.6149732461914665e-68,1.0762196051803627e-46,6.698403528588488e-58,2.4039843885159012e-42,2.2616954744440265e-32,9.340750010548408e-64,1.2391448021538704e-68,1.4821272610203364e-60,1.6205055352212024e-162,7.808301687429995e-87,3.159617351148447e-83,1.985348496321768e-83,2.0655162529626568e-51,1.0144919446895105e-70,9.873785782515087e-59,2.409182887768545e-81,4.554129576419536e-25,2.6130397660134736e-69,2.591809020421652e-45,8.661342030554874e-74,1.139016966419507e-150,5.67580533153095e-79,9.395618696830439e-66,4.551061349811926e-36,7.701582500338143e-64,9.651642919282546e-11,2.3624013776684644e-33,1.3639574575241244e-44,2.3108472631043667e-21,6.880954750878623e-68,4.388865789751222e-107,1.5303671587627195e-26,2.0369601553669545e-93,1.0105745008795614e-95,1.0897256003388672e-105,4.1210634006801733e-63,3.088212112720984e-150,7.594999501324495e-102,4.1318970010023474e-60,3.9155008895499737e-63,8.829584540835231e-43,4.5839436609421057e-35,1.6784696371923686e-09,1.06000018733774e-53,1.7188117346091962e-104,5.175679173038613e-106,5.198124786054439e-40,2.9379488356632287e-156,1.7700659850474829e-103,1.004383591138101e-59,3.357910475569088e-56,3.054586446227533e-145,4.1259668518564197e-35,5.342125841648005e-83,2.150699428390916e-29,1.071005375922344e-125,6.090868878240811e-25,1.5213365164686776e-101,4.257960612352518e-89,1.585716872911268e-08,3.624246313040858e-49,1.3807736994172333e-191,1.3484871683288797e-127,1.2274284938342846e-50,4.813519738126049e-110,8.994936914379115e-71,8.28034191989995e-46,1.0548808214243665e-24,2.8270018022150663e-96,1.7791684179382196e-31,1.2338280948127417e-92,2.119932349190926e-47
19,6.621341540284656e-39,6.407824883068668e-124,1.6479285161695573e-87,1.0,0.0,1.87049778555223e-71,9.843610370232014e-103,4.701415757789928e-75,5.2973869837097955e-61,3.444376646163952e-202,4.4252365289131955e-37,1.2436725315399027e-129,6.52447359920994e-71,1.1844564026220432e-90,3.271410645490757e-129,8.924108112964448e-133,1.6641450612000493e-94,1.1055353817589689e-62,1.382998460095805e-96,4.665420637699218e-95,4.173309476720883e-52,4.57312339959404e-62,3.1795341375947214e-46,1.1721705928060766e-69,5.970889192712297e-83,2.4124474825256204e-53,6.144621699589127e-56,1.9840387814969162e-72,1.0445926844874868e-42,4.022116461374898e-53,1.1465826570746142e-47,1.2653612530822222e-23,9.980842558918465e-49,2.5865247254258473e-61,8.272210364258973e-65,8.325263873189249e-152,4.3463514484259303e-69,2.7429378019158326e-73,2.4832830768985493e-71,1.5559557924785438e-46,7.458823358012626e-65,1.1025456611678413e-61,4.7312613096871766e-98,9.586008588378661e-39,2.525005783937339e-79,4.773085036130051e-44,2.5012572964900363e-68,3.573865943985584e-147,1.5370809724506046e-82,1.8672471809363448e-75,1.0593053099892406e-29,6.868398042969269e-54,1.3405151163865543e-31,3.156458573485626e-41,3.7853783652448813e-34,1.0366684331493783e-31,1.7192148885110358e-62,1.1607251716003393e-123,2.5567470523034097e-35,1.6595389442962032e-92,3.543579050259675e-82,1.4164276694844871e-98,2.100457732874748e-66,1.1547752481751583e-169,3.6893858329468196e-87,2.624881312355198e-32,1.589358729337914e-69,2.212363839199093e-52,5.991505925178389e-30,2.8798756577063993e-21,5.000011468989682e-56,1.4232610855494767e-113,1.3088035162076665e-115,2.447118589177658e-49,5.95422250596176e-144,1.6875102692244086e-103,1.322300313133712e-47,3.954998048633347e-62,4.341633017676966e-151,5.00016499830149e-43,2.3083672813077856e-83,2.5488348129783405e-32,4.211534338985937e-134,2.264247295549247e-43,1.7263754463044157e-103,1.487731477654513e-93,2.491164294442003e-26,1.46146828530784e-42,4.903704566922228e-180,4.57808804664614e-132,1.2612282266221621e-51,1.220271342260862e-95,3.7659387360600324e-66,4.251945947511411e-59,1.6355948264487762e-24,4.000882523893626e-104,1.0048287904001611e-41,3.747709057462948e-96,3.6135677903543107e-45
23,8.697707074685044e-84,3.0709056355218183e-134,5.073977985115986e-73,1.0171609459649945e-20,0.0,1.1144334990136935e-06,1.2391961873596407e-72,6.136670298202166e-80,3.453590128048643e-86,3.0307675286649534e-232,4.2619600375337104e-54,1.5047924029986269e-142,2.719344742999593e-104,4.944898359328933e-106,5.25271007070106e-142,2.053458251834564e-59,4.769428039995476e-133,1.5334762482311325e-70,2.9108680300969807e-92,6.792073352677617e-118,8.236566240561814e-63,3.115469534795281e-73,2.092913884656771e-28,3.7038377270368423e-54,1.349615541205584e-77,2.8238674513207524e-42,2.9873524239207674e-70,2.6018080607025005e-68,0.9901023924345851,0.009896493095958232,3.548813149157937e-11,2.2763763114133377e-34,7.602445082479644e-81,2.803930752538742e-63,1.2143511431760252e-33,8.826261312949015e-127,2.930702933424276e-66,2.141950672170486e-30,3.3816736858993383e-35,4.636832193965186e-25,1.7284072243065467e-39,5.124345994217623e-115,2.111933886157547e-27,1.5609308906379784e-43,5.506073837888793e-75,3.0982483267747876e-68,2.4814493571471112e-113,1.1010411148393418e-165,1.250014104659187e-115,1.0157222317404439e-92,2.93639667506636e-40,5.662180473099394e-73,1.352464974336396e-40,4.831059786172075e-54,6.642147737788348e-54,5.329249320819754e-22,4.1322561371909995e-64,3.1299397332574025e-95,3.2814647662537574e-48,3.155235385488572e-100,1.03136938493426e-99,2.1298413436059787e-63,2.570713429442737e-53,8.929259968804438e-152,4.283949634090855e-108,4.2057810971025354e-69,1.4778860250832953e-28,1.4158778112429374e-34,2.2986496420604313e-40,4.575221204279218e-13,4.105506117419277e-32,8.751364693818337e-105,1.6315315278954069e-103,1.2369209135497758e-31,3.6064373411175676e-184,1.5512292084641692e-160,2.1276652100004925e-35,1.438479598373814e-52,2.1817512087185355e-137,1.7649584028927715e-33,4.292190345441253e-52,1.2149508780507287e-14,1.7587565904025243e-133,1.337521507563439e-72,1.7166633023128828e-102,6.325240861515585e-117,1.6144058899384704e-43,1.2538729472612033e-26,6.959200559498552e-163,2.6649949356488166e-149,6.231460640261589e-41,8.797100867748064e-119,5.949030488001056e-67,6.615418325725371e-68,7.391995074535836e-57,2.801421262049652e-131,8.618750495236075e-26,3.8281346273966805e-111,3.89082931737984e-60
24,1.2032723743551687e-44,2.236997034852983e-125,1.7580212818290296e-61,2.612400715385537e-26,0.0,2.785643205871436e-56,5.0018367872787365e-92,7.787191544246411e-67,5.922792056573944e-36,1.4397882665949897e-172,2.2465894964878872e-24,1.026998639789397e-138,1.3118995252378145e-136,1.487117684894059e-106,5.912473340410285e-141,6.344167765832579e-155,8.445571788329157e-76,3.465674941697081e-57,2.9200533789148644e-105,1.8403264820792323e-134,5.236463171331199e-58,2.9478663566332816e-52,4.9544968659312915e-79,1.2338216310024486e-40,4.301735936329596e-111,1.4030029313002888e-63,1.9618421924938563e-34,1.077374132780026e-45,8.60226095997914e-60,4.4272700089964906e-64,2.6365585258750084e-66,8.677338005333763e-13,1.8696915145271892e-65,4.780650026359898e-79,6.904901400374832e-52,1.5298300581235238e-207,1.5605225179078213e-103,3.589075415226586e-65,1.1114122516423085e-73,3.630074207634106e-20,1.8940222533498143e-51,1.37989207309656e-84,6.079182162164217e-101,2.7117607060285295e-59,9.509470187820432e-68,9.558421197528846e-65,7.280715165405066e-74,9.156193580249407e-163,1.2762507591393428e-103,6.33030772746574e-82,8.433651978183057e-52,8.142438094859422e-44,1.9048794287788593e-49,5.421580834578471e-77,2.0833877225691527e-52,7.410015403575008e-43,3.4600455145402685e-60,2.134547252006683e-118,9.92356694640292e-38,3.6449607422423508e-37,5.2960995047154235e-101,6.679748283491039e-93,2.0992781245072166e-91,1.7926751148731616e-129,3.1930785022191043e-60,4.812720428591773e-82,2.839147955165781e-63,5.794492495714069e-68,7.913175954703125e-57,5.207661481879828e-22,5.80120884388942e-38,7.465333783063683e-82,8.708403731113778e-19,3.8954528938296954e-55,3.413590455621252e-116,8.840625001657008e-81,6.813231184687767e-91,1.3246999091159912e-57,1.723955566488781e-69,1.113592814259758e-44,4.578725513380107e-72,7.468447288055512e-39,3.160638814765674e-114,6.794600454220345e-21,0.9999999999991322,1.9370291727282005e-122,1.1167350562114362e-51,1.0609605285106602e-75,2.4276676150565614e-183,1.9207434288706713e-120,8.400290177409684e-65,2.3685403909383513e-120,2.799935917049411e-54,1.0338432054631908e-76,1.7995723611071037e-25,1.3108707419910065e-104,3.733607175455583e-37,8.403959056416434e-75,7.930156244241506e-86
28,2.1252088966021143e-17,2.863908853962741e-55,6.106554716337427e-88,9.847149433040112e-26,5.905032483207818e-235,5.424318484039093e-55,8.156727220416554e-57,0.00011938113342537554,0.49994030943328155,7.25381961569096e-130,1.1226529777115604e-14,5.4643311641994e-36,6.348857676003329e-43,3.5996179969216477e-53,6.30912931283071e-32,1.6512095474789898e-163,4.353479950613959e-18,6.250012980104038e-36,4.440455864392248e-99,2.9841922918168186e-56,1.6705936209996452e-29,3.74270455061428e-92,1.8904280888063136e-74,6.81731381699487e-108,6.940615578350495e-133,8.800282960007092e-97,2.096584870231216e-25,3.606697479793259e-114,1.5115450536530933e-75,2.220357501640397e-84,8.7606968178821e-88,1.3033216776832089e-45,1.2368617319618232e-81,2.1483480911530922e-66,8.810639071442016e-90,1.1479231091574467e-130,3.2818688322524333e-118,6.278453187304945e-126,1.918324867536774e-127,2.651481502911696e-72,4.7523876796910765e-81,5.043485900100476e-35,8.44389481893689e-118,6.767794876119949e-79,2.0536355552815693e-85,1.0713194322377309e-82,2.273310637652057e-109,8.760673359602739e-69,3.0763852322071254e-17,7.250974312052546e-42,3.16742102158635e-51,2.1187830338386723e-83,1.2186820071809023e-63,5.979835748090053e-44,1.9929371460967166e-41,1.4926093898972788e-36,2.7074285312972193e-80,6.5308749257892734e-161,1.0551251872143113e-51,1.2220106284545572e-111,1.4343632072236595e-115,2.8279524560340296e-117,3.2437441393265723e-107,4.087374615545337e-176,4.436177307503184e-90,2.502703576823946e-75,6.04006512141412e-83,2.491443255175015e-94,1.250314474762693e-52,2.762543203906451e-37,9.046850687875498e-84,1.8620212421502808e-133,6.686895275164826e-123,1.437867688805466e-45,7.945857640131078e-123,7.056964773774654e-92,7.459078740295586e-76,1.7541439484753802e-81,2.5260873427362232e-86,2.547555149377347e-70,1.2517392224864757e-75,1.6051954236913502e-52,8.501727027129372e-140,2.0662977373052464e-45,5.27130910238897e-76,9.953634437124915e-89,2.97646762608275e-41,3.0431953929699865e-69,4.9991297114432686e-225,4.92566296046525e-83,2.8854500417058433e-68,2.3266775624525722e-91,5.1944373339745935e-42,2.1542970311468985e-16,0.49994030943328155,2.940351227015987e-20,1.005332249440798e-82,4.7889677974215175e-147,2.2958925826344246e-41
